tanggal,lat,lon,NO2,status_outlier,jenis_outlier,perubahan_NO2,persentase_perubahan,abs_perubahan
2025-12-23,-7.2,113.3,3.109083125444293e-05,Normal,Normal,-6.274700504561531e-06,-16.792750455235883,6.274700504561531e-06
2025-12-24,-7.2,113.3,2.7584441525234707e-05,Normal,Normal,-3.5063897292082256e-06,-11.277889936465291,3.5063897292082256e-06
2025-12-25,-7.2,113.3,2.1478874516696357e-05,Normal,Normal,-6.105567008538351e-06,-22.134096871067253,6.105567008538351e-06
2025-12-27,-7.2,113.3,3.527771508515798e-05,Normal,Normal,1.3798840568461622e-05,64.24377849842762,1.3798840568461622e-05
2025-12-28,-7.2,113.3,2.0765057384282546e-05,Normal,Normal,-1.4512657700875433e-05,-41.138315409155254,1.4512657700875433e-05
2025-12-29,-7.2,113.3,2.2399336706677368e-05,Normal,Normal,1.6342793223948223e-06,7.870333763834614,1.6342793223948223e-06
2025-12-30,-7.2,113.3,1.855907178721212e-05,Normal,Normal,-3.840264919465248e-06,-17.144547491535512,3.840264919465248e-06
2026-01-02,-7.2,113.3,4.515954742601025e-05,Outlier,Outlier Tinggi,2.660047563879813e-05,143.32869630434226,2.660047563879813e-05
2026-01-03,-7.2,113.3,3.1721425936363325e-05,Normal,Normal,-1.3438121489646924e-05,-29.75698884419523,1.3438121489646924e-05
2026-01-04,-7.2,113.3,2.5905629778814426e-05,Normal,Normal,-5.815796157548899e-06,-18.3339682434706,5.815796157548899e-06
2026-01-06,-7.2,113.3,3.968739110860042e-05,Normal,Normal,1.3781761329785997e-05,53.199869864027384,1.3781761329785997e-05
2026-01-08,-7.2,113.3,3.563795835974958e-05,Normal,Normal,-4.049432748850841e-06,-10.203323110279506,4.049432748850841e-06
2026-01-09,-7.2,113.3,3.50225036527263e-05,Normal,Normal,-6.15454707023282e-07,-1.7269639882580679,6.15454707023282e-07
2026-01-10,-7.2,113.3,5.444581620395184e-05,Outlier,Outlier Tinggi,1.9423312551225542e-05,55.459520381015224,1.9423312551225542e-05
2026-01-13,-7.2,113.3,1.77759293364943e-05,Normal,Normal,-3.666988686745754e-05,-67.35115647838508,3.666988686745754e-05
2026-01-14,-7.2,113.3,3.099758191638102e-05,Normal,Normal,1.3221652579886722e-05,74.37952936020302,1.3221652579886722e-05
2026-01-18,-7.2,113.3,3.039486914314607e-05,Normal,Normal,-6.02712773234954e-07,-1.9443864197563165,6.02712773234954e-07
2026-01-19,-7.2,113.3,2.258960560264169e-05,Normal,Normal,-7.805263540504378e-06,-25.679543161528752,7.805263540504378e-06
2026-01-20,-7.2,113.3,3.153558488596294e-05,Normal,Normal,8.94597928332125e-06,39.602193330347845,8.94597928332125e-06
2026-01-21,-7.2,113.3,3.099256115897557e-05,Normal,Normal,-5.430237269873732e-07,-1.7219396087024275,5.430237269873732e-07
2026-01-24,-7.2,113.3,1.3853381388082897e-05,Normal,Normal,-1.713917977089267e-05,-55.30094684004227,1.713917977089267e-05
2026-01-25,-7.2,113.3,1.5900742174797717e-05,Normal,Normal,2.0473607867148203e-06,14.778780207957197,2.0473607867148203e-06
2026-01-26,-7.2,113.3,2.2071714898334608e-05,Normal,Normal,6.170972723536891e-06,38.80933767555661,6.170972723536891e-06
2026-01-28,-7.2,113.3,1.227447382411305e-05,Normal,Normal,-9.797241074221557e-06,-44.38821867421273,9.797241074221557e-06
2026-01-29,-7.2,113.3,3.092072224148978e-05,Normal,Normal,1.864624841737673e-05,151.9107758472417,1.864624841737673e-05
2026-01-30,-7.2,113.3,1.955796009786345e-05,Normal,Normal,-1.136276214362633e-05,-36.748048945569735,1.136276214362633e-05
2026-01-31,-7.2,113.3,2.503978860979908e-05,Normal,Normal,5.48182851193563e-06,28.0286312299741,5.48182851193563e-06
2026-02-01,-7.2,113.3,1.9195607819710855e-05,Normal,Normal,-5.844180790088226e-06,-23.33957718716987,5.844180790088226e-06
2026-02-02,-7.2,113.3,2.0683423507873893e-05,Normal,Normal,1.4878156881630383e-06,7.7508131137961955,1.4878156881630383e-06
2026-02-03,-7.2,113.3,2.295065762056667e-05,Normal,Normal,2.2672341126927774e-06,10.961599813636624,2.2672341126927774e-06
2026-02-04,-7.2,113.3,2.1873624804803007e-05,Normal,Normal,-1.077032815763663e-06,-4.692818975254576,1.077032815763663e-06
2026-02-05,-7.2,113.3,3.253758007882755e-05,Normal,Normal,1.0663955274024545e-05,48.752574706698624,1.0663955274024545e-05
2026-02-06,-7.2,113.3,2.150473681031096e-05,Normal,Normal,-1.1032843268516591e-05,-33.90800189131381,1.1032843268516591e-05
2026-02-08,-7.2,113.3,2.618692931746685e-05,Normal,Normal,4.682192507155887e-06,21.772842646048552,4.682192507155887e-06
2026-02-09,-7.2,113.3,2.7719442995375077e-05,Normal,Normal,1.5325136779082282e-06,5.852208402632497,1.5325136779082282e-06
2026-02-10,-7.2,113.3,1.548950653655497e-05,Normal,Normal,-1.2229936458820107e-05,-44.12042644890318,1.2229936458820107e-05
2026-02-12,-7.2,113.3,3.2125793360456874e-05,Normal,Normal,1.6636286823901904e-05,107.40359471517414,1.6636286823901904e-05
2026-02-14,-7.2,113.3,2.927040026666613e-05,Normal,Normal,-2.8553930937907426e-06,-8.88816366884001,2.8553930937907426e-06
2026-02-15,-7.2,113.3,1.988067439874107e-05,Normal,Normal,-9.38972586792506e-06,-32.07925338355662,9.38972586792506e-06
2026-02-16,-7.2,113.3,2.3175288650211745e-05,Normal,Normal,3.294614251470674e-06,16.571944117143754,3.294614251470674e-06
2026-02-18,-7.2,113.3,5.253817107586656e-06,Normal,Normal,-1.792147154262509e-05,-77.33008987769973,1.792147154262509e-05
2026-02-19,-7.2,113.3,1.1103325959993526e-05,Normal,Normal,5.8495088524068706e-06,111.33826573368952,5.8495088524068706e-06
2026-02-20,-7.2,113.3,3.0532106083067927e-05,Normal,Normal,1.94287801230744e-05,174.98162436263135,1.94287801230744e-05
2026-02-22,-7.2,113.3,3.311716136522591e-05,Normal,Normal,2.5850552821579846e-06,8.466678568209108,2.5850552821579846e-06
2026-02-27,-7.2,113.3,2.1049702188214886e-05,Normal,Normal,-1.2067459177011025e-05,-36.43868821946269,1.2067459177011025e-05
2026-02-28,-7.2,113.3,4.023645945959619e-05,Normal,Normal,1.9186757271381302e-05,91.1497801718231,1.9186757271381302e-05
2026-03-01,-7.2,113.3,1.6407959380949755e-05,Normal,Normal,-2.3828500078646434e-05,-59.22116507933319,2.3828500078646434e-05
2026-03-03,-7.2,113.3,2.132728235058797e-05,Normal,Normal,4.919322969638214e-06,29.98132098833526,4.919322969638214e-06
2026-03-04,-7.2,113.3,3.313657582338252e-05,Normal,Normal,1.1809293472794553e-05,55.37176879204671,1.1809293472794553e-05
2026-03-05,-7.2,113.3,2.502153851490651e-05,Normal,Normal,-8.115037308476013e-06,-24.489667706551955,8.115037308476013e-06
2026-03-07,-7.2,113.3,2.753122134890873e-05,Normal,Normal,2.509682834002221e-06,10.03009000628432,2.509682834002221e-06
2026-03-08,-7.2,113.3,2.084051239673611e-05,Normal,Normal,-6.6907089521726215e-06,-24.30225985029838,6.6907089521726215e-06
2026-03-09,-7.2,113.3,2.4671055329592397e-05,Normal,Normal,3.830542932856289e-06,18.38027232697119,3.830542932856289e-06
2026-03-10,-7.2,113.3,2.9826594010867653e-05,Normal,Normal,5.155538681275256e-06,20.897114502804826,5.155538681275256e-06
2026-03-11,-7.2,113.3,1.6225258982665986e-05,Normal,Normal,-1.3601335028201668e-05,-45.60136844068039,1.3601335028201668e-05
2026-03-12,-7.2,113.3,2.116484423757876e-05,Normal,Normal,4.939585254912775e-06,30.443799141757346,4.939585254912775e-06
2026-03-13,-7.2,113.3,2.2583057020944045e-05,Normal,Normal,1.4182127833652844e-06,6.700794805979293,1.4182127833652844e-06
2026-03-14,-7.2,113.3,3.007686619337713e-05,Normal,Normal,7.493809172433086e-06,33.18332485049813,7.493809172433086e-06
2026-03-15,-7.2,113.3,2.0700523248111203e-05,Normal,Normal,-9.376342945265928e-06,-31.174600721303147,9.376342945265928e-06
2026-03-16,-7.2,113.3,2.579737150275226e-05,Normal,Normal,5.096848254641058e-06,24.621832953455012,5.096848254641058e-06
2026-03-17,-7.2,113.3,1.3343250123741376e-05,Normal,Normal,-1.2454121379010885e-05,-48.276706708984605,1.2454121379010885e-05
2026-03-18,-7.2,113.3,2.3185234864696114e-05,Normal,Normal,9.841984740954738e-06,73.76002585339454,9.841984740954738e-06
2026-03-19,-7.2,113.3,2.213143198730449e-05,Normal,Normal,-1.0538028773916233e-06,-4.545146441437331,1.0538028773916233e-06
2026-03-20,-7.2,113.3,3.179368650307879e-05,Normal,Normal,9.662254515774297e-06,43.65851482776608,9.662254515774297e-06
2026-03-21,-7.2,113.3,2.846565877533928e-05,Normal,Normal,-3.32802772773951e-06,-10.467574206650232,3.32802772773951e-06
2026-03-23,-7.2,113.3,2.5147533553451263e-05,Normal,Normal,-3.3181252218880153e-06,-11.65659030790679,3.3181252218880153e-06
2026-03-24,-7.2,113.3,2.9015540586323883e-05,Normal,Normal,3.86800703287262e-06,15.381258065134485,3.86800703287262e-06
2026-03-25,-7.2,113.3,2.6495859984106062e-05,Normal,Normal,-2.519680602217821e-06,-8.683900252423493,2.519680602217821e-06
2026-03-26,-7.2,113.3,2.1648221245042652e-05,Normal,Normal,-4.8476387390634106e-06,-18.29583467746032,4.8476387390634106e-06
2026-03-27,-7.2,113.3,1.8856236025848768e-05,Normal,Normal,-2.7919852191938837e-06,-12.897065248874595,2.7919852191938837e-06
2026-03-29,-7.2,113.3,1.8790277640321525e-05,Normal,Normal,-6.595838552724329e-08,-0.349796138724745,6.595838552724329e-08
2026-03-30,-7.2,113.3,2.694780748751804e-05,Normal,Normal,8.157529847196517e-06,43.41356739557432,8.157529847196517e-06
2026-03-31,-7.2,113.3,1.615596883035007e-05,Normal,Normal,-1.0791838657167972e-05,-40.04718625872121,1.0791838657167972e-05
2026-04-01,-7.2,113.3,1.2250138264274172e-05,Normal,Normal,-3.905830566075898e-06,-24.17577433510848,3.905830566075898e-06
2026-04-02,-7.2,113.3,1.969269995648525e-05,Normal,Normal,7.442561692211078e-06,60.75491991724107,7.442561692211078e-06
2026-04-03,-7.2,113.3,1.4783458206985804e-05,Normal,Normal,-4.9092417494994454e-06,-24.92924667692772,4.9092417494994454e-06
2026-04-04,-7.2,113.3,1.5116080247940482e-05,Normal,Normal,3.326220409546776e-07,2.2499609786666763,3.326220409546776e-07
2026-04-05,-7.2,113.3,1.4395637490906663e-05,Normal,Normal,-7.204427570338185e-07,-4.766068618430208,7.204427570338185e-07
2026-04-06,-7.2,113.3,1.703232404989566e-05,Normal,Normal,2.6366865589889968e-06,18.31587215678723,2.6366865589889968e-06
2026-04-07,-7.2,113.3,1.95386869381764e-05,Normal,Normal,2.506362888280741e-06,14.715331160553479,2.506362888280741e-06
2026-04-08,-7.2,113.3,1.4346203170134684e-05,Normal,Normal,-5.1924837680417175e-06,-26.57539774536326,5.1924837680417175e-06
2026-04-09,-7.2,113.3,2.981609017856849e-05,Normal,Normal,1.546988700843381e-05,107.83262180922102,1.546988700843381e-05
2026-04-10,-7.2,113.3,2.60611845663204e-05,Normal,Normal,-3.75490561224809e-06,-12.593554653745576,3.75490561224809e-06
2026-04-11,-7.2,113.3,2.572157609392889e-05,Normal,Normal,-3.396084723915125e-07,-1.3031198621355045,3.396084723915125e-07
2026-04-12,-7.2,113.3,1.5523992654262083e-05,Normal,Normal,-1.0197583439666806e-05,-39.646028697571765,1.0197583439666806e-05
2026-04-13,-7.2,113.3,1.0385915762374983e-05,Normal,Normal,-5.138076891887099e-06,-33.09765088349516,5.138076891887099e-06
2026-04-14,-7.2,113.3,1.089741474209824e-05,Normal,Normal,5.114989797232568e-07,4.924929023363189,5.114989797232568e-07
2026-04-15,-7.2,113.3,1.984128820734657e-05,Normal,Normal,8.94387346524833e-06,82.07335112884063,8.94387346524833e-06
2026-04-16,-7.2,113.3,1.576010013195628e-05,Normal,Normal,-4.081188075390291e-06,-20.56916886011042,4.081188075390291e-06
2026-04-17,-7.2,113.3,1.814523305816485e-05,Normal,Normal,2.3851329262085688e-06,15.133996016765817,2.3851329262085688e-06
2026-04-18,-7.2,113.3,2.206877483153537e-05,Normal,Normal,3.923541773370523e-06,21.62298913876468,3.923541773370523e-06
2026-04-19,-7.2,113.3,2.6270550581439186e-05,Normal,Normal,4.201775749903814e-06,19.039460876186244,4.201775749903814e-06
2026-04-20,-7.2,113.3,2.700114224600544e-05,Normal,Normal,7.30591664566253e-07,2.7810291310850443,7.30591664566253e-07
2026-04-21,-7.2,113.3,3.616334020946288e-05,Normal,Normal,9.162197963457443e-06,33.93263099753827,9.162197963457443e-06
2026-04-22,-7.2,113.3,1.541070159346682e-05,Normal,Normal,-2.0752638615996063e-05,-57.38584570947821,2.0752638615996063e-05
2026-04-23,-7.2,113.3,9.891676274621985e-06,Normal,Normal,-5.519025318844834e-06,-35.81294002334429,5.519025318844834e-06
2026-04-24,-7.2,113.3,9.4165093234011e-06,Normal,Normal,-4.751669512208852e-07,-4.803705034706507,4.751669512208852e-07
2026-04-25,-7.2,113.3,1.3021503788101056e-05,Normal,Normal,3.6049944646999563e-06,38.28376674295999,3.6049944646999563e-06
2026-04-26,-7.2,113.3,1.2891876511948172e-05,Normal,Normal,-1.2962727615288335e-07,-0.9954862223465755,1.2962727615288335e-07
2026-04-28,-7.2,113.3,1.8510874951971346e-05,Normal,Normal,5.618998440023173e-06,43.58557448805451,5.618998440023173e-06
2026-04-29,-7.2,113.3,-7.570181638199686e-06,Outlier,Outlier Rendah,-2.6081056590171032e-05,-140.89586071885535,2.6081056590171032e-05
2026-04-30,-7.2,113.3,3.250573863624595e-05,Normal,Normal,4.0075920274445636e-05,-529.3917925591063,4.0075920274445636e-05
2026-05-01,-7.2,113.3,3.2903479096466126e-05,Normal,Normal,3.9774046022017376e-07,1.223600745305542,3.9774046022017376e-07
2026-05-02,-7.2,113.3,1.8658343854838225e-05,Normal,Normal,-1.4245135241627901e-05,-43.29370520322225,1.4245135241627901e-05
2026-05-03,-7.2,113.3,1.7020569631668735e-05,Normal,Normal,-1.6377742231694904e-06,-8.777704151619037,1.6377742231694904e-06
